name,repeat_status,stim_type,button_resp.rt,button_resp.keys,correct_key,accuracy,trial_type
,,,,,None,,NaN
images/faces/male/Justin_Timberlake.jpg,original,face,,,None,1.0,correct rejection
images/faces/male/Tom_Hanks.jpg,original,face,,,None,1.0,correct rejection
images/faces/female/Christina_Aguilera.jpg,original,face,,,None,1.0,correct rejection
images/objects/fullbucket.jpg,original,object,,,None,1.0,correct rejection
images/objects/APARKBENC.jpg,original,object,,,None,1.0,correct rejection
images/objects/Acarnivalgame.jpg,original,object,,,None,1.0,correct rejection
images/faces/female/Carrie_Underwood.jpg,original,face,,,None,1.0,correct rejection
images/faces/male/Jamie _Foxx.jpg,original,face,,,None,1.0,correct rejection
images/faces/female/Adele.jpg,original,face,,,None,1.0,correct rejection
images/faces/female/Alice_Walker.jpg,original,face,,,None,1.0,correct rejection
images/objects/AHEELCUPS.jpg,original,object,,,None,1.0,correct rejection
images/objects/Atoyslide.jpg,original,object,,,None,1.0,correct rejection
images/faces/female/Kelly_Clarkson.jpg,original,face,,,None,1.0,correct rejection
images/objects/26370116.thl.jpg,original,object,,,None,1.0,correct rejection
images/objects/ATIMECLO3.jpg,original,object,,,None,1.0,correct rejection
images/objects/ASCREW24.jpg,original,object,,,None,1.0,correct rejection
images/objects/23051010.thl.jpg,original,object,,,None,1.0,correct rejection
images/objects/driedprune.jpg,original,object,,,None,1.0,correct rejection
images/faces/male/Bryan_Moynihan.jpg,original,face,,,None,1.0,correct rejection
images/objects/22849344.thl.jpg,original,object,,,None,1.0,correct rejection
images/objects/swingset.jpg,original,object,,,None,1.0,correct rejection
images/objects/Achildsplaype.jpg,original,object,,,None,1.0,correct rejection
images/faces/male/Paulo_Coelho.jpg,original,face,,,None,1.0,correct rejection
images/objects/26372390.thl.jpg,original,object,,,None,1.0,correct rejection
images/faces/female/Bonnie_Wright.jpg,original,face,,,None,1.0,correct rejection
images/faces/female/Mia_Hamm.jpg,original,face,,,None,1.0,correct rejection
images/faces/male/PSY.jpg,original,face,,,None,1.0,correct rejection
images/objects/8027086.thl.jpg,original,object,,,None,1.0,correct rejection
images/objects/8256348.thl.jpg,original,object,,,None,1.0,correct rejection
images/objects/Atennisball2.jpg,original,object,,,None,1.0,correct rejection
images/objects/mixer.jpg,original,object,,,None,1.0,correct rejection
images/faces/male/Prince_Harry.jpg,original,face,,,None,1.0,correct rejection
images/objects/Abasket108.jpg,original,object,,,None,1.0,correct rejection
images/objects/26373735.thl.jpg,original,object,,,None,1.0,correct rejection
images/objects/23025535.thl.jpg,original,object,,,None,1.0,correct rejection
images/objects/A_flower.jpg,original,object,,,None,1.0,correct rejection
images/faces/female/Katie_Ledecky.jpg,original,face,,,None,1.0,correct rejection
